Zip Code,percent_black,percent_hispanic,teacher_rating,parent_rating,instruct,educational_nonprofits,distance_from_hunting,average_daily_attendance,total_nonprofits
19103,76.16,3.9200000000000004,6.733333333333333,7.7,59.0,45,4.9,96.67,203
19104,80.14,2.7,7.06,7.742857142857143,56.285714285714285,32,7.7,90.43380952380951,118
19106,55.8,15.899999999999999,8.0,7.4,57.7,13,5.5,93.86166666666668,73
19111,34.5125,27.975,7.383333333333333,7.75,51.93333333333334,8,6.2,91.23714285714286,36
19114,19.75,24.35,7.4,7.5,59.45,9,11.0,92.50666666666666,22
19115,13.333333333333334,8.5,7.666666666666667,7.733333333333333,70.16666666666667,11,10.2,95.63777778,30
19116,13.900000000000002,12.228571428571428,7.357142857142857,8.0,56.300000000000004,14,10.2,92.33333333333331,31
19118,82.1,3.9,7.7,7.4,78.1,11,12.3,93.03333333333336,29
19119,73.5,3.766666666666666,7.766666666666667,7.633333333333333,62.199999999999996,16,5.7,92.34222222222222,41
19120,42.416666666666664,45.199999999999996,7.290909090909091,7.88,51.33,8,4.4,89.0730303,30
19121,87.37692307692308,4.661538461538462,6.8,7.142857142857143,55.93636363636363,12,3.1,83.60733333333334,46
19122,56.9,33.0,6.814285714285715,7.7,53.800000000000004,11,3.0,85.44238095238096,39
19123,68.075,13.0625,7.3,7.76,55.425,16,3.0,91.67083333333332,51
19124,38.60588235294117,49.38235294117647,6.7272727272727275,7.6375,42.5375,17,4.0,85.21666666666667,42
19125,34.92,31.51,7.1625,7.8428571428571425,59.15,15,4.5,86.87619047619047,35
19126,91.36666666666667,3.4333333333333336,7.1,7.4,45.43333333333334,8,3.8,89.59888889,24
19127,28.4,11.6,7.8,7.8,66.7,6,3.2,92.99666666666668,10
19128,61.08571428571429,7.257142857142857,6.8500000000000005,7.25,59.28333333333333,8,7.0,90.34722222,31
19129,74.63333333333334,8.799999999999999,6.6,7.8,42.55,4,2.7,87.24000000000001,14
19130,51.675,12.5,7.0,7.340000000000001,54.34285714285714,17,4.2,89.43111111111112,53
19131,91.16923076923078,2.8846153846153846,6.8999999999999995,7.42,56.099999999999994,25,5.9,85.96799999999999,51
19132,92.3875,4.175,6.7,7.766666666666667,50.760000000000005,8,2.5,82.80199999999999,31
19133,32.9375,61.9375,7.2,8.040000000000001,43.31666666666666,6,2.3,83.83722222222222,11
19134,30.75,52.5875,7.225,7.959999999999999,62.957142857142856,6,4.4,86.55814814814815,29
19135,35.4,30.880000000000003,7.159999999999999,7.775,51.75,8,6.4,87.55,24
19136,28.883333333333336,31.650000000000002,6.925,7.050000000000001,51.349999999999994,8,12.6,89.26124999999999,25
19137,11.8,20.22,7.133333333333333,7.2,50.0,5,5.7,90.14666666666666,13
19138,93.2625,3.175,6.833333333333333,7.3,35.44,11,3.8,87.512,24
19139,87.07000000000001,3.79,7.1,7.25,52.96,5,8.5,86.23766666666667,33
19140,51.015,45.635,6.914285714285714,7.422222222222222,37.53636363636363,14,0.0,84.10575757575758,44
19141,77.7625,7.05,7.2,7.659999999999999,54.614285714285714,11,2.6,90.55523809523812,34
19142,83.38571428571429,8.1,7.016666666666667,7.8,46.44,4,13.1,86.768,24
19143,94.65333333333334,2.106666666666667,6.9375,6.966666666666666,41.57142857142857,16,10.8,84.22809523809524,58
19144,91.9875,3.6375,7.25,6.800000000000001,49.325,24,2.3,86.72,62
19145,54.44,7.88,7.109999999999999,7.814285714285715,46.72,20,11.7,87.78416666666666,33
19146,64.14999999999999,11.65,7.540000000000001,7.5200000000000005,59.76666666666667,16,10.1,91.14222222,46
19147,22.525000000000002,24.675,7.6000000000000005,7.433333333333334,58.07142857142857,35,7.3,94.655625,63
19148,18.56,32.61,7.35,7.6499999999999995,55.75,9,8.2,88.58708333333334,35
19149,25.119999999999997,42.160000000000004,7.359999999999999,7.566666666666666,53.879999999999995,12,5.7,90.45866666666667,29
19150,88.55,4.75,6.866666666666667,7.5,58.5,4,5.1,91.57111111111112,16
19151,94.14999999999999,2.566666666666667,7.233333333333333,7.65,53.650000000000006,9,8.2,88.92916666666667,34
19152,23.225,24.125,7.65,7.55,55.25,7,8.0,91.96666666666668,24
19153,83.6,4.7,7.0,7.0,61.7,11,17.2,84.44999999999999,34
19154,24.7,18.725,6.95,7.566666666666666,58.93333333333334,11,12.5,92.30444444444444,37
