Zip Code,distance_from_19140_km,distance_from_19140_miles,Average ADA for 3 years
19142,13.82696307304616,8.591673871661765,86.768
19139,10.131438034422969,6.295381782887435,86.23766666666667
19104,8.025079290556201,4.9865515438521975,90.43380952380951
19143,12.551552685138084,7.7991708435169365,84.22809523809524
19153,15.866054110687644,9.858705908812093,84.44999999999999
19131,8.783058046009229,5.4575375611068,85.96799999999999
19148,10.697781027092269,6.647290894585351,88.58708333333334
19130,6.405848168851309,3.9804082825273066,89.43111111111112
19147,8.975803505662846,5.577304000117228,94.655625
19145,11.882822433394457,7.383641258260747,87.78416666666666
19146,9.630915514759387,5.984371604321555,91.1422222222222
19121,5.9581002784045936,3.702190728092541,83.60733333333334
19106,8.080482755386011,5.020977650196961,93.86166666666668
19103,8.165615833241128,5.0738768759168735,96.67
19140,0.0,0.0,84.10575757575758
19123,6.372148018724021,3.9594679865425637,91.67083333333332
19125,2.5346907411173447,1.5749833204988257,86.87619047619047
19124,2.3929309544097603,1.4868979000725473,85.21666666666667
19120,2.450218204494936,1.5224945359452229,89.0730303030303
19151,11.647209019472143,7.237237915638425,88.92916666666667
19122,5.372995653663149,3.3386236823123245,85.44238095238096
19138,4.612435511010906,2.866033665912358,87.512
19116,13.938925987449304,8.661244379747362,92.33333333333331
19137,5.115865489610951,3.1788504551450463,90.14666666666666
19136,8.972698451631434,5.575374609588676,89.26124999999999
19144,4.0944770217199205,2.5441892814631286,86.72
19128,9.76737047844191,6.069160761559928,90.3472222222222
19132,3.681282359926394,2.287442101269823,82.80199999999999
19135,6.942379034640181,4.313793003133404,87.55
19133,2.3834628485492337,1.481014693665886,83.83722222222222
19111,7.764861219154609,4.824859580607319,91.23714285714286
19141,2.0215571339934635,1.2561369779066525,90.55523809523812
19134,3.3467166434034907,2.0795526674282705,86.55814814814815
19154,15.58909718208452,9.68661290512904,92.30444444444444
19129,4.977868913445589,3.093103384616599,87.24000000000001
19150,7.375229702721627,4.58275385560984,91.57111111111112
19119,6.278579185556231,3.901327027108261,92.34222222222222
19118,9.398690411165187,5.840073659476124,93.03333333333336
19127,9.116595295645606,5.664787935450606,92.99666666666668
19126,4.559389361043825,2.833072326661163,89.5988888888889
19149,4.628130568759804,2.8757861196408485,90.45866666666667
19114,12.87749236042305,8.00170030548843,92.50666666666666
19115,10.805833306211309,6.714431447313827,95.6377777777778
19152,10.94488234329751,6.800832486537117,91.96666666666668
